2022-03-28 21:19:49,811 - root - INFO : batch_size: 1024, learning_rate: 0.50, max_epoch: 5, activator: sigmoid, layer_list: [285, 64, 8, 2]
2022-03-28 21:19:56,237 - root - INFO : loading data...
2022-03-28 21:23:48,656 - root - INFO : loaded!
2022-03-28 21:23:48,658 - root - INFO : initialize!
2022-03-28 21:23:48,658 - root - INFO : start training!
2022-03-28 22:11:35,625 - root - INFO : train: epoch0, idx1000: F1:0.69474 accs0.69792
2022-03-28 22:11:35,625 - root - INFO : eval: epoch0, idx1000: F1:0.80473 accs0.79375
2022-03-28 22:11:50,150 - root - INFO : train: epoch0, idx1100: F1:0.76744 accs0.79167
2022-03-28 22:11:50,150 - root - INFO : eval: epoch0, idx1100: F1:0.71378 accs0.74687
2022-03-28 22:12:05,323 - root - INFO : train: epoch0, idx1200: F1:0.75269 accs0.76042
2022-03-28 22:12:05,323 - root - INFO : eval: epoch0, idx1200: F1:0.73684 accs0.76562
2022-03-28 22:12:19,839 - root - INFO : train: epoch0, idx1300: F1:0.71739 accs0.72917
2022-03-28 22:12:19,839 - root - INFO : eval: epoch0, idx1300: F1:0.72993 accs0.76875
2022-03-28 22:12:34,434 - root - INFO : train: epoch1, idx0: F1:0.72527 accs0.73958
2022-03-28 22:12:34,434 - root - INFO : eval: epoch1, idx0: F1:0.74608 accs0.74687
2022-03-28 22:12:49,532 - root - INFO : train: epoch1, idx100: F1:0.76404 accs0.78125
2022-03-28 22:12:49,532 - root - INFO : eval: epoch1, idx100: F1:0.77814 accs0.78438
2022-03-28 22:13:04,437 - root - INFO : train: epoch1, idx200: F1:0.68627 accs0.66667
2022-03-28 22:13:04,438 - root - INFO : eval: epoch1, idx200: F1:0.69831 accs0.72188
2022-03-28 22:13:19,366 - root - INFO : train: epoch1, idx300: F1:0.64103 accs0.70833
2022-03-28 22:13:19,367 - root - INFO : eval: epoch1, idx300: F1:0.79861 accs0.81875
2022-03-28 22:13:33,611 - root - INFO : train: epoch1, idx400: F1:0.83333 accs0.83333
2022-03-28 22:13:33,611 - root - INFO : eval: epoch1, idx400: F1:0.73579 accs0.75313
2022-03-28 22:13:48,987 - root - INFO : train: epoch1, idx500: F1:0.71028 accs0.67708
2022-03-28 22:13:48,987 - root - INFO : eval: epoch1, idx500: F1:0.74434 accs0.75313
2022-03-28 22:14:03,629 - root - INFO : train: epoch1, idx600: F1:0.76596 accs0.77083
2022-03-28 22:14:03,629 - root - INFO : eval: epoch1, idx600: F1:0.72542 accs0.74687
2022-03-28 22:14:18,731 - root - INFO : train: epoch1, idx700: F1:0.75610 accs0.79167
2022-03-28 22:14:18,731 - root - INFO : eval: epoch1, idx700: F1:0.72671 accs0.72500
2022-03-28 22:14:33,121 - root - INFO : train: epoch1, idx800: F1:0.77333 accs0.82292
2022-03-28 22:14:33,122 - root - INFO : eval: epoch1, idx800: F1:0.73203 accs0.74375
